year,mean_2m_air_temperature July,mean_2m_air_temperature August,mean_2m_air_temperature Average of August & July,maximum_2m_air_temperature July,maximum_2m_air_temperature August,,,,,yearAllTime,mean_2m_air_temperatureJulyAllTime,mean_2m_air_temperatureAugustAllTime,maximum_2m_air_temperatureJulyAllTime,maximum_2m_air_temperatureAugustAllTime
1997,294.129,295.368,294.7485,312.736,312.269,,,,,"1,979",294.937,294.421,314.118,312.281
1998,296.16,296.369,296.2645,313.334,313.348,,,,,"1,980",293.664,295.896,312.211,314.231
1999,296.484,296.083,296.2835,314.383,313.755,,,,,"1,981",294.448,294.829,314.804,310.817
2000,295.176,295.666,295.421,316.243,316.054,,,,,"1,982",295.34,294.629,317.747,315.357
2001,295.02,296.329,295.6745,313.633,313.701,,,,,"1,983",295.451,293.72,316.742,309.874
2002,295.242,294.327,294.7845,313.34,313,,,,,"1,984",295.771,293.836,314.559,311.057
2003,296.433,297.772,297.1025,316.294,317.623,,,,,"1,985",296.001,294.994,313.995,315.66
2004,295.849,295.58,295.7145,317.425,314.632,,,,,"1,986",295.676,294.607,314.319,312.546
2005,296.618,295.834,296.226,315.678,316.653,,,,,"1,987",294.509,295.962,311.653,315.011
2006,297.77,295.309,296.5395,316.91,315,,,,,"1,988",294.58,295.58,313.844,316.716
2007,295.555,294.739,295.147,315.916,314.87,,,,,"1,989",297.062,296.162,315.494,314.692
2008,295.311,295.634,295.4725,313.656,313.318,,,,,"1,990",296.57,296.152,314.318,314.282
2009,296.368,296.71,296.539,314.846,314.416,,,,,"1,991",295.921,297.112,317.149,315.526
2010,297.072,296.366,296.719,313.612,316.182,,,,,"1,992",295.532,295.709,313.396,314.328
2011,294.963,296.243,295.603,312.745,314.794,,,,,"1,993",295.074,295.261,315.273,314.385
2012,295.688,297.019,296.3535,315.359,317.033,,,,,"1,994",297.278,296.65,316.394,315.558
2013,296.966,296.271,296.6185,314.76,314.519,,,,,"1,995",296.535,295.843,317.362,314.344
2014,295.099,295.54,295.3195,314.219,314.769,,,,,"1,996",295.615,294.286,314.153,310.931
2015,298.456,296.119,297.2875,317.212,313.596,,,,,"1,997",294.129,295.368,312.736,312.269
2016,297.311,296.957,297.134,314.97,313.461,,,,,"1,998",296.16,296.369,313.334,313.348
2017,296.848,296.68,296.764,318.077,315.215,,,,,"1,999",296.484,296.083,314.383,313.755
2018,295.997,297.078,296.5375,312.69,317.374,,,,,"2,000",295.176,295.666,316.243,316.054
2019,296.974,296.516,296.745,315.227,314.899,,,,,"2,001",295.02,296.329,313.633,313.701
,,,,,,,,,,"2,002",295.242,294.327,313.34,313
,,,,,,,,,,"2,003",296.433,297.772,316.294,317.623
,,,,,,,,,,"2,004",295.849,295.58,317.425,314.632
,,,,,,,,,,"2,005",296.618,295.834,315.678,316.653
,,,,,,,,,,"2,006",297.77,295.309,316.91,315
,,,,,,,,,,"2,007",295.555,294.739,315.916,314.87
,,,,,,,,,,"2,008",295.311,295.634,313.656,313.318
,,,,,,,,,,"2,009",296.368,296.71,314.846,314.416
,,,,,,,,,,"2,010",297.072,296.366,313.612,316.182
,,,,,,,,,,"2,011",294.963,296.243,312.745,314.794
,,,,,,,,,,"2,012",295.688,297.019,315.359,317.033
,,,,,,,,,,"2,013",296.966,296.271,314.76,314.519
,,,,,,,,,,"2,014",295.099,295.54,314.219,314.769
,,,,,,,,,,"2,015",298.456,296.119,317.212,313.596
,,,,,,,,,,"2,016",297.311,296.957,314.97,313.461
,,,,,,,,,,"2,017",296.848,296.68,318.077,315.215
,,,,,,,,,,"2,018",295.997,297.078,312.69,317.374
,,,,,,,,,,"2,019",296.974,296.516,315.227,314.899
